gear_type,speed_kmph,distance_km,current_amp,battery_voltage,vehicle_load_kg,payload_ratio,power_kw,energy_per_km,efficiency_score,motor_temp,controller_temp,diff_temp,thermal_stress_index,speed_drop_rate,acceleration_sec,ambient_temp
CY,25.0,82.2,29.0,51.1,600,0.3333333333333333,1.111425,0.044457,0.8620689655172413,27.6,43.1,30.8,1.6916666666666667,0.121654501216545,21,20
CY,25.0,82.2,29.0,51.1,600,0.3333333333333333,1.111425,0.044457,0.8620689655172413,27.6,43.1,30.8,1.2083333333333333,0.121654501216545,21,28
CY,25.0,82.2,29.0,51.1,600,0.3333333333333333,1.111425,0.044457,0.8620689655172413,27.6,43.1,30.8,0.9666666666666667,0.121654501216545,21,35
CY,25.0,82.2,29.0,51.1,600,0.3333333333333333,1.111425,0.044457,0.8620689655172413,27.6,43.1,30.8,0.8458333333333333,0.121654501216545,21,40
CY,25.0,82.2,29.0,51.1,700,0.5555555555555556,1.2966625,0.0518665,0.8620689655172413,27.6,43.1,30.8,1.6916666666666667,0.121654501216545,21,20
CY,25.0,82.2,29.0,51.1,700,0.5555555555555556,1.2966625,0.0518665,0.8620689655172413,27.6,43.1,30.8,1.2083333333333333,0.121654501216545,21,28
CY,25.0,82.2,29.0,51.1,700,0.5555555555555556,1.2966625,0.0518665,0.8620689655172413,27.6,43.1,30.8,0.9666666666666667,0.121654501216545,21,35
CY,25.0,82.2,29.0,51.1,700,0.5555555555555556,1.2966625,0.0518665,0.8620689655172413,27.6,43.1,30.8,0.8458333333333333,0.121654501216545,21,40
CY,25.0,82.2,29.0,51.1,800,0.7777777777777778,1.4819,0.059276,0.8620689655172413,27.6,43.1,30.8,1.6916666666666667,0.121654501216545,21,20
CY,25.0,82.2,29.0,51.1,800,0.7777777777777778,1.4819,0.059276,0.8620689655172413,27.6,43.1,30.8,1.2083333333333333,0.121654501216545,21,28
CY,25.0,82.2,29.0,51.1,800,0.7777777777777778,1.4819,0.059276,0.8620689655172413,27.6,43.1,30.8,0.9666666666666667,0.121654501216545,21,35
CY,25.0,82.2,29.0,51.1,800,0.7777777777777778,1.4819,0.059276,0.8620689655172413,27.6,43.1,30.8,0.8458333333333333,0.121654501216545,21,40
CY,25.0,82.2,29.0,51.1,900,1.0,1.6671375,0.0666855,0.8620689655172413,27.6,43.1,30.8,1.6916666666666667,0.121654501216545,21,20
CY,25.0,82.2,29.0,51.1,900,1.0,1.6671375,0.0666855,0.8620689655172413,27.6,43.1,30.8,1.2083333333333333,0.121654501216545,21,28
CY,25.0,82.2,29.0,51.1,900,1.0,1.6671375,0.0666855,0.8620689655172413,27.6,43.1,30.8,0.9666666666666667,0.121654501216545,21,35
CY,25.0,82.2,29.0,51.1,900,1.0,1.6671375,0.0666855,0.8620689655172413,27.6,43.1,30.8,0.8458333333333333,0.121654501216545,21,40
CY,23.0,82.5,28.4,51.1,600,0.3333333333333333,1.08843,0.04732304347826087,0.8098591549295775,27.6,43.1,30.8,1.6916666666666667,0.14545454545454545,21,20
CY,23.0,82.5,28.4,51.1,600,0.3333333333333333,1.08843,0.04732304347826087,0.8098591549295775,27.6,43.1,30.8,1.2083333333333333,0.14545454545454545,21,28
CY,23.0,82.5,28.4,51.1,600,0.3333333333333333,1.08843,0.04732304347826087,0.8098591549295775,27.6,43.1,30.8,0.9666666666666667,0.14545454545454545,21,35
CY,23.0,82.5,28.4,51.1,600,0.3333333333333333,1.08843,0.04732304347826087,0.8098591549295775,27.6,43.1,30.8,0.8458333333333333,0.14545454545454545,21,40
CY,23.0,82.5,28.4,51.1,700,0.5555555555555556,1.269835,0.05521021739130435,0.8098591549295775,27.6,43.1,30.8,1.6916666666666667,0.14545454545454545,21,20
CY,23.0,82.5,28.4,51.1,700,0.5555555555555556,1.269835,0.05521021739130435,0.8098591549295775,27.6,43.1,30.8,1.2083333333333333,0.14545454545454545,21,28
